순위,시도/구,동,아파트명,전용면적(㎡),이전최고가(억),이전최고가일자,이전층,신고가(억),신고가일자,신고가층,상승폭(억),상승률(%),정권후거래건수
1,경기 구리시,수택동,동명B,64.02,1.90,2024.08.30,4,5.95,2026.03.19,5,4.05,213.16,1
2,서울 종로구,행촌동,대성아파트,94.94,3.00,2024.02.28,6,6.95,2025.12.31,3,3.95,131.67,2
3,서울 성동구,금호동4가,롯데,84.89,7.32,2025.03.20,16,16.00,2025.10.14,17,8.68,118.58,1
4,서울 강서구,등촌동,"등촌1,2단지주공아파트",49.94,4.00,2024.04.15,2,8.70,2026.04.03,14,4.70,117.50,2
5,서울 용산구,이촌동,강서,54.25,6.80,2025.03.06,3,14.50,2026.02.10,4,7.70,113.24,1
6,경기 남양주시,별내동,별내자이더스타,84.56,5.45,2024.05.02,11,11.60,2026.01.14,24,6.15,112.84,6
7,경기 성남분당구,운중동,산운마을5단지(한성필하우스),84.81,8.40,2024.11.07,11,17.70,2025.10.03,17,9.30,110.71,3
8,경기 수원장안구,연무동,익주,58.28,1.17,2024.10.10,5,2.37,2025.11.27,4,1.20,102.56,1
9,서울 마포구,마포동,강변한신코아,77.22,7.10,2024.10.19,7,13.80,2026.05.08,11,6.70,94.37,2
10,경기 하남시,신장동,진도로르빌,56.97,2.10,2024.08.08,4,4.05,2026.03.26,7,1.95,92.86,2
11,서울 강동구,명일동,고덕삼환아파트,84.64,7.30,2025.01.21,11,13.90,2026.03.27,10,6.60,90.41,2
12,서울 서초구,잠원동,신반포27,53.46,16.90,2024.05.22,4,32.00,2025.11.06,12,15.10,89.35,6
13,서울 동대문구,장안동,한신아파트,84.40,4.00,2024.01.03,10,7.55,2026.03.23,7,3.55,88.75,2
14,서울 용산구,용산동2가,한신,81.70,6.70,2024.07.30,7,12.50,2026.02.27,2,5.80,86.57,2
15,서울 동작구,상도동,성우2차아파트,76.80,3.10,2024.01.05,1,5.75,2025.06.03,2,2.65,85.48,1
16,경기 성남분당구,수내동,양지마을(5단지)(한양501-514),28.16,5.70,2024.05.28,8,10.30,2026.02.05,10,4.60,80.70,25
17,경기 성남분당구,정자동,한솔마을(5단지)(주공),42.75,7.60,2025.04.08,15,13.70,2026.04.16,20,6.10,80.26,44
18,서울 강남구,대치동,삼환SOGOOD,84.93,10.70,2025.03.12,14,19.00,2025.06.21,15,8.30,77.57,1
19,서울 서초구,방배동,방배한화,84.70,11.90,2024.11.14,12,21.10,2026.01.19,13,9.20,77.31,2
20,경기 안양동안구,비산동,미륭,85.16,3.60,2024.05.25,3,6.35,2025.07.14,4,2.75,76.39,8
21,경기 이천시,대월면 사동리,유호,43.65,0.39,2025.04.18,5,0.69,2025.06.11,2,0.30,76.03,2
22,서울 서초구,반포동,한신서래,64.53,18.75,2025.02.23,11,33.00,2025.10.28,11,14.25,76.00,2
23,경기 성남분당구,서현동,시범우성,45.99,7.90,2024.09.20,4,13.90,2026.04.18,3,6.00,75.95,10
24,경기 성남분당구,정자동,한솔마을(5단지)(주공),41.85,7.80,2025.05.16,14,13.70,2026.02.20,4,5.90,75.64,69
25,경기 성남분당구,서현동,시범현대,49.41,8.00,2024.08.24,4,14.00,2026.01.27,2,6.00,75.00,11
26,경기 성남중원구,하대원동,상일,39.93,1.50,2025.04.28,4,2.62,2025.12.03,2,1.12,74.67,2
27,경기 성남분당구,정자동,한솔마을(5단지)(주공),51.66,9.00,2025.05.19,2,15.70,2026.01.23,4,6.70,74.44,14
28,서울 중구,신당동,토토타워(5차),59.94,1.78,2024.06.04,-1,3.10,2025.12.20,3,1.32,74.16,1
29,경기 성남분당구,정자동,한솔마을(6단지)(주공),37.67,6.60,2025.04.24,11,11.48,2026.04.17,12,4.88,73.94,45
30,경기 안산단원구,초지동,주공그린빌14단지,40.62,2.03,2025.03.22,3,3.52,2025.11.13,3,1.49,73.40,4
31,서울 서초구,반포동,현대동궁아파트,70.38,18.00,2024.12.05,11,31.00,2025.10.31,9,13.00,72.22,5
32,서울 양천구,목동,목동효성,84.80,5.30,2024.07.17,2,9.10,2025.12.15,16,3.80,71.70,1
33,서울 영등포구,신길동,우성4,84.89,7.00,2024.12.04,6,12.00,2026.03.16,12,5.00,71.43,2
34,서울 서초구,양재동,비젼아파트101동,102.46,7.30,2024.10.30,4,12.50,2025.12.05,2,5.20,71.23,1
35,경기 성남분당구,정자동,한솔마을(6단지)(주공),39.87,6.80,2025.05.16,8,11.60,2026.01.29,11,4.80,70.59,24
36,경기 성남분당구,정자동,정든마을(6단지)(한진),162.36,11.50,2024.01.12,18,19.60,2025.06.17,13,8.10,70.43,1
37,경기 성남분당구,정자동,한솔마을(4단지)(주공),35.28,6.30,2024.09.09,8,10.70,2026.02.19,6,4.40,69.84,48
38,서울 동작구,사당동,극동(105),46.75,7.95,2025.03.22,2,13.50,2026.03.05,8,5.55,69.81,7
39,서울 서초구,방배동,UPPERHOUSE,233.44,37.75,2024.10.07,2,64.00,2026.01.13,1,26.25,69.54,1
40,경기 성남분당구,구미동,무지개(2단지)(엘지),49.83,7.20,2025.05.07,7,12.20,2026.03.07,9,5.00,69.44,10
41,경기 군포시,산본동,상남아파트,48.96,3.70,2024.06.27,5,6.25,2026.01.04,3,2.55,68.92,2
42,경기 성남분당구,정자동,한솔마을(4단지)(주공),41.85,6.69,2024.07.09,11,11.30,2026.04.10,10,4.61,68.91,42
43,서울 용산구,서빙고동,금호베스트빌1,156.58,16.00,2024.01.30,4,27.00,2025.10.15,12,11.00,68.75,1
44,경기 수원팔달구,우만동,한효,59.71,2.30,2024.07.24,7,3.87,2026.02.03,7,1.57,68.26,2
45,서울 강동구,강일동,힐스테이트리슈빌강일,101.40,9.10,2024.03.08,8,15.30,2026.03.12,9,6.20,68.13,3
46,서울 송파구,오금동,상아2차아파트,45.77,8.30,2025.05.22,1,13.95,2026.02.13,13,5.65,68.07,19
47,서울 강동구,암사동,한건,84.83,6.50,2024.03.17,2,10.90,2025.10.17,2,4.40,67.69,1
48,서울 성동구,하왕십리동,극동미라주,114.63,9.75,2024.06.13,2,16.30,2026.04.03,9,6.55,67.18,7
49,서울 강남구,자곡동,강남한양수자인(4단지),101.40,13.50,2025.03.20,1,22.50,2026.04.09,3,9.00,66.67,2
50,경기 성남분당구,서현동,효자촌(삼환),46.06,7.50,2024.10.19,10,12.50,2026.03.13,3,5.00,66.67,6
51,경기 용인수지구,상현동,포레나 광교상현,92.63,6.00,2024.08.03,1,9.95,2026.03.09,2,3.95,65.83,2
52,서울 송파구,문정동,문정시영,39.69,7.30,2025.04.19,12,12.10,2026.04.24,10,4.80,65.75,72
53,서울 서초구,잠원동,신반포2,93.71,30.50,2024.05.09,7,50.50,2025.09.19,12,20.00,65.57,1
54,경기 성남분당구,금곡동,청솔마을(서광),53.60,8.82,2024.02.08,9,14.59,2026.04.23,15,5.77,65.42,4
55,경기 성남분당구,정자동,한솔마을(4단지)(주공),36.00,6.18,2024.07.30,7,10.20,2026.03.30,5,4.02,65.05,23
56,서울 서초구,반포동,반포미도2차아파트,59.07,17.00,2024.06.27,12,28.00,2025.12.22,2,11.00,64.71,2
57,서울 강남구,수서동,까치마을,34.44,9.40,2025.05.01,9,15.45,2026.03.04,9,6.05,64.36,35
58,경기 성남분당구,구미동,무지개(11단지)(금강센테리움),49.77,5.80,2025.05.29,12,9.50,2026.02.20,12,3.70,63.79,4
59,경기 성남수정구,신흥동,산성역자이푸르지오2단지,59.96,7.80,2024.10.20,14,12.75,2026.04.25,4,4.95,63.46,3
60,서울 송파구,가락동,가락미륭아파트,50.00,9.85,2025.01.05,15,16.10,2026.04.17,9,6.25,63.45,4
61,서울 성동구,성수동1가,서울숲성수현대,59.13,11.05,2025.05.10,4,18.00,2026.02.21,10,6.95,62.90,2
62,서울 송파구,거여동,송파위례리슈빌,111.54,14.00,2024.02.21,15,22.70,2026.01.19,3,8.70,62.14,8
63,서울 서초구,잠원동,금호베스트빌,84.97,21.00,2024.06.13,4,34.00,2025.07.25,11,13.00,61.90,1
64,경기 성남분당구,정자동,한솔마을(3단지)(한일),101.95,10.20,2025.02.26,14,16.50,2025.09.24,3,6.30,61.76,1
65,경기 성남분당구,구미동,무지개(3단지)(건영),53.83,7.05,2024.11.21,12,11.40,2026.01.19,18,4.35,61.70,7
66,경기 용인처인구,고림동,힐스테이트용인둔전역,84.92,4.00,2024.07.18,7,6.45,2026.01.15,29,2.45,61.25,12
67,서울 광진구,광장동,극동1,156.92,23.00,2024.04.06,11,37.00,2025.10.18,9,14.00,60.87,2
68,경기 성남분당구,정자동,정든마을(2단지)(동아),48.84,7.90,2025.03.28,8,12.70,2026.02.21,4,4.80,60.76,25
69,경기 성남분당구,정자동,정든마을(6단지)(우성),48.84,7.90,2025.04.18,8,12.70,2026.02.02,12,4.80,60.76,36
70,서울 강남구,일원동,수서,51.76,10.90,2024.10.22,14,17.50,2026.03.18,10,6.60,60.55,1
71,서울 성동구,응봉동,금호현대,59.91,9.98,2025.05.12,9,16.00,2026.03.24,9,6.02,60.32,8
72,서울 송파구,문정동,문정시영,46.26,7.50,2025.03.22,2,12.00,2026.04.04,13,4.50,60.00,28
73,경기 구리시,수택동,무학수누피마을,84.90,5.00,2025.01.16,5,8.00,2026.01.13,2,3.00,60.00,2
74,경기 성남분당구,구미동,무지개(3단지)(신한),53.46,7.13,2025.02.12,11,11.40,2026.03.06,11,4.27,59.89,8
75,서울 성동구,사근동,벽산,84.88,5.20,2024.08.01,9,8.30,2026.03.26,18,3.10,59.62,1
76,서울 송파구,방이동,올림픽선수기자촌2단지,120.42,24.75,2024.02.20,1,39.50,2025.10.28,1,14.75,59.60,1
77,경기 광명시,소하동,광명신촌휴먼시아1단지,115.97,5.90,2025.05.01,4,9.40,2026.03.19,6,3.50,59.32,7
78,서울 송파구,거여동,거여5단지,59.74,8.35,2025.03.08,14,13.30,2026.04.20,11,4.95,59.28,34
79,경기 성남분당구,금곡동,청솔마을(주공9단지),36.54,6.60,2025.03.12,5,10.50,2026.02.21,6,3.90,59.09,67
80,서울 송파구,가락동,우성,43.79,10.00,2025.03.17,12,15.90,2026.02.03,9,5.90,59.00,22
81,서울 마포구,용강동,대림2차,59.25,9.98,2024.01.11,14,15.85,2025.09.25,11,5.87,58.82,1
82,서울 성동구,옥수동,현대,104.41,14.80,2024.02.02,3,23.50,2026.04.08,6,8.70,58.78,5
83,서울 양천구,신정동,동림,74.01,4.79,2024.03.09,2,7.60,2025.06.09,5,2.81,58.66,1
84,서울 강동구,둔촌동,신동아파밀리에,58.87,8.70,2025.05.14,21,13.80,2026.03.21,17,5.10,58.62,4
85,경기 성남분당구,서현동,시범한양,59.37,10.60,2024.05.31,2,16.80,2026.04.16,2,6.20,58.49,5
86,경기 남양주시,별내동,포스코더샵,116.50,5.50,2024.10.29,4,8.70,2026.04.11,9,3.20,58.18,2
87,서울 강동구,길동,삼익파크맨션,55.70,6.96,2024.07.27,12,11.00,2025.09.29,8,4.04,58.05,6
88,경기 수원영통구,망포동,영통아이파크캐슬3단지,75.54,5.60,2024.02.21,6,8.85,2026.05.18,15,3.25,58.04,9
89,서울 광진구,자양동,자양현대5,59.72,9.25,2024.07.26,5,14.60,2026.02.04,9,5.35,57.84,4
90,서울 송파구,가락동,현대(5차),54.00,7.30,2024.08.17,4,11.50,2026.03.30,2,4.20,57.53,4
91,경기 성남분당구,이매동,이매촌(삼성),59.53,9.83,2024.07.30,3,15.48,2026.03.23,3,5.65,57.48,5
92,서울 성동구,응봉동,신동아,84.81,9.70,2025.03.07,11,15.27,2026.02.05,15,5.57,57.42,20
93,서울 서대문구,홍제동,서대문푸르지오센트럴파크,55.25,8.80,2025.04.11,5,13.85,2026.02.11,4,5.05,57.39,14
94,서울 송파구,장지동,송파더센트레,51.96,9.48,2024.05.23,11,14.90,2026.03.10,11,5.42,57.17,5
95,서울 노원구,하계동,미성,118.52,7.00,2024.10.17,9,11.00,2026.04.18,10,4.00,57.14,5
96,서울 서대문구,홍제동,홍제역해링턴플레이스,48.21,7.00,2024.09.27,18,11.00,2026.02.05,18,4.00,57.14,5
97,경기 성남분당구,정자동,한솔마을(4단지)(주공),42.75,7.20,2024.11.06,17,11.30,2026.04.16,14,4.10,56.94,26
98,서울 동대문구,답십리동,신답극동,71.28,6.60,2024.06.08,8,10.35,2026.03.14,12,3.75,56.82,3
99,서울 서초구,잠원동,잠원중앙하이츠(A동),229.98,30.00,2024.04.10,15,47.00,2025.12.17,17,17.00,56.67,1
100,서울 용산구,이태원동,남산대림,149.53,27.50,2025.03.14,4,43.00,2026.03.10,2,15.50,56.36,3
101,서울 광진구,광장동,삼성광장2,69.06,10.88,2024.07.26,8,17.00,2025.10.13,6,6.12,56.25,8
102,경기 고양일산동구,백석동,흰돌마을(국제),84.69,4.00,2024.10.13,4,6.25,2026.03.14,11,2.25,56.25,2
103,경기 이천시,장호원읍 진암리,동양,82.08,0.80,2025.05.28,8,1.25,2026.04.19,5,0.45,56.25,1
